timestamp,scan_type,target,result,confidence,ml_prediction,quantum_analysis,vt_detections,file_hash,additional_info
2026-02-05T23:53:37.957666,domain,google.com,UNKNOWN,0.0,UNKNOWN,"{""method"": ""quantum_simulation"", ""anomaly_score"": 0.1371162235736847, ""quantum_confidence"": 0.8794175982475281, ""anomaly_level"": ""LOW"", ""is_anomalous"": false, ""quantum_features"": {""entanglement_measure"": 1.0564597845077515, ""quantum_entropy"": 0.7787303924560547}}",,,"{""features"": {""length"": 6, ""entropy"": 1.9182958340544896, ""vowel_ratio"": 0.5, ""digit_ratio"": 0.0, ""consonant_ratio"": 0.5}}"
2026-02-06T09:51:59.961490,domain,hackers.com,BENIGN,0.2910133852770567,BENIGN,"{""method"": ""quantum_simulation"", ""anomaly_score"": 0.13174529373645782, ""quantum_confidence"": 0.8835909962654114, ""anomaly_level"": ""LOW"", ""is_anomalous"": false, ""quantum_features"": {""entanglement_measure"": 1.0830142498016357, ""quantum_entropy"": 0.7298811674118042}}",,,"{""features"": {""length"": 7, ""entropy"": 2.8073549220576037, ""vowel_ratio"": 0.2857142857142857, ""digit_ratio"": 0.0, ""consonant_ratio"": 0.7142857142857143}}"
2026-02-06T10:07:16.484731,file,data\samples\fake_malware.exe,,0.0,,,,c8d51917c2a53700e770a525381d4683e329f9f99dd3f00101c74cc8cedc0172,"{""file_size_mb"": 0.48828125, ""hashes"": {""md5"": ""3da4384ad9e56deae93599c4a82cc307"", ""sha1"": ""549a46cdf9c07f585fbcd64bd857e09cef81e39c"", ""sha256"": ""c8d51917c2a53700e770a525381d4683e329f9f99dd3f00101c74cc8cedc0172""}}"
2026-02-06T10:10:51.664730,file,data\samples\fake_malware.exe,,0.0,,,,c8d51917c2a53700e770a525381d4683e329f9f99dd3f00101c74cc8cedc0172,"{""file_size_mb"": 0.48828125, ""hashes"": {""md5"": ""3da4384ad9e56deae93599c4a82cc307"", ""sha1"": ""549a46cdf9c07f585fbcd64bd857e09cef81e39c"", ""sha256"": ""c8d51917c2a53700e770a525381d4683e329f9f99dd3f00101c74cc8cedc0172""}}"
2026-02-06T10:12:55.327054,file,data\samples\fake_malware1.exe,,0.0,,,,99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c,"{""file_size_mb"": 0.48828125, ""hashes"": {""md5"": ""4faa314b0a42cc88e0febd6dcdec5761"", ""sha1"": ""49180ca758c2fd735482616493f5380d39868f1f"", ""sha256"": ""99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c""}}"
2026-02-06T11:09:01.392664,file,data\samples\fake_malware1.exe,,0.0,,,,99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c,"{""file_size_mb"": 0.48828125, ""hashes"": {""md5"": ""4faa314b0a42cc88e0febd6dcdec5761"", ""sha1"": ""49180ca758c2fd735482616493f5380d39868f1f"", ""sha256"": ""99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c""}}"
2026-02-06T11:10:47.359440,file,data\samples\fake_malware1.exe,UNKNOWN,0.0,UNKNOWN,"{""method"": ""quantum_simulation"", ""anomaly_score"": 0.007533340249210596, ""quantum_confidence"": 0.9925230145454407, ""anomaly_level"": ""LOW"", ""is_anomalous"": false, ""quantum_features"": {""entanglement_measure"": 1.005037784576416, ""quantum_entropy"": 0.2848320007324219}}",,99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c,"{""file_size_mb"": 0.48828125, ""hashes"": {""md5"": ""4faa314b0a42cc88e0febd6dcdec5761"", ""sha1"": ""49180ca758c2fd735482616493f5380d39868f1f"", ""sha256"": ""99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c""}}"
2026-02-06T11:11:56.782651,file,data\samples\fake_malware1.exe,UNKNOWN,0.0,UNKNOWN,"{""method"": ""quantum_simulation"", ""anomaly_score"": 0.007533340077651174, ""quantum_confidence"": 0.992522986805508, ""anomaly_level"": ""LOW"", ""is_anomalous"": false, ""quantum_features"": {""entanglement_measure"": 1.005037784576416, ""quantum_entropy"": 0.2848320007324219}}",,99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c,"{""file_size_mb"": 0.48828125, ""hashes"": {""md5"": ""4faa314b0a42cc88e0febd6dcdec5761"", ""sha1"": ""49180ca758c2fd735482616493f5380d39868f1f"", ""sha256"": ""99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c""}}"
2026-02-06T11:12:40.846543,file,data\samples\fake_malware1.exe,BENIGN,0.03,BENIGN,"{""method"": ""quantum_simulation"", ""anomaly_score"": 0.0022069285897647634, ""quantum_confidence"": 0.9977979312187851, ""anomaly_level"": ""LOW"", ""is_anomalous"": false, ""quantum_features"": {""entanglement_measure"": 1.7320551872253418, ""quantum_entropy"": 0.021660849452018738}}",,99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c,"{""file_size_mb"": 0.48828125, ""hashes"": {""md5"": ""4faa314b0a42cc88e0febd6dcdec5761"", ""sha1"": ""49180ca758c2fd735482616493f5380d39868f1f"", ""sha256"": ""99d16bce46400afa251bc350e09f19d9b39ccb163d71a785bd6538b9b611c05c""}}"
2026-02-06T11:13:01.665459,file,data\samples\fake_malware.exe,BENIGN,0.02,BENIGN,"{""method"": ""quantum_simulation"", ""anomaly_score"": 0.35220614075660706, ""quantum_confidence"": 0.7395322322845459, ""anomaly_level"": ""LOW"", ""is_anomalous"": false, ""quantum_features"": {""entanglement_measure"": 2.126504421234131, ""quantum_entropy"": 2.8156557083129883}}",,c8d51917c2a53700e770a525381d4683e329f9f99dd3f00101c74cc8cedc0172,"{""file_size_mb"": 0.48828125, ""hashes"": {""md5"": ""3da4384ad9e56deae93599c4a82cc307"", ""sha1"": ""549a46cdf9c07f585fbcd64bd857e09cef81e39c"", ""sha256"": ""c8d51917c2a53700e770a525381d4683e329f9f99dd3f00101c74cc8cedc0172""}}"
